Materials 0 1 
Dimensions 3 3 3
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
0.86 0.14 0.0129615 0.0129615 
0.958963 0.0410368 0.00662554 0.00662554 
1 0 0 0 
0.939938 0.0600619 0.00827771 0.00827771 
0.981164 0.0188358 0.00408928 0.00408928 
1 0 0 0 
1 0 0 0 
1 0 0 0 
1 0 0 0 
0.946322 0.0536783 0.00785177 0.00785177 
0.983648 0.0163517 0.00411338 0.00411338 
1 0 0 0 
0.975064 0.0249363 0.00482721 0.00482721 
0.991699 0.00830148 0.00234801 0.00234801 
